[0] 5-0-1-5-0-5-0-0-0-0
[582] 4-3-1-38-7-2-0-6-0-0
[583] 0-0-1-3-8-10-0-16-0-0
[584] 0-3-1-42-11-2-0-12-0-0
[585] 5-3-0-20-11-10-0-1-0-0
[586] 4-3-3-36-22-10-0-4-0-0
[587] 5-3-1-40-18-10-0-10-0-0
[588] 0-2-3-27-13-3-0-5-0-0
[589] 3-0-3-13-19-0-0-7-2-0
[590] 3-2-0-1-14-11-0-11-0-0
[591] 4-0-3-0-6-8-0-12-0-0
[592] 0-2-3-39-9-8-0-12-0-0
[593] 6-2-0-1-18-0-0-7-1-0
[594] 4-2-0-20-18-0-0-0-1-0
[595] 6-2-3-5-8-7-0-0-0-0
[596] 0-0-0-13-27-1-0-0-0-0
[597] 5-0-3-20-15-2-0-5-0-0
[598] 3-3-1-27-25-6-0-0-0-0
[599] 6-0-1-24-7-6-0-17-0-0
[600] 5-2-0-43-19-0-0-0-2-0
[601] 3-2-3-3-16-9-0-9-0-1
[602] 3-0-1-12-21-10-0-16-0-0
[603] 6-3-3-8-24-7-0-6-0-0
[604] 3-3-1-34-14-8-0-0-0-0
[605] 5-0-0-27-17-5-0-15-0-0
[606] 4-2-0-1-10-1-0-12-0-0
[607] 4-0-3-5-13-8-0-12-0-0
[608] 6-2-1-1-19-9-0-3-0-0
[609] 5-1-3-2-13-10-0-4-0-0
[610] 4-2-3-7-17-11-0-6-0-0
[611] 3-0-0-28-17-11-0-3-0-2
[612] 6-3-3-12-16-6-0-11-0-0
[613] 4-0-1-7-16-7-0-7-0-0
[614] 6-2-3-1-6-7-0-11-0-0
[615] 5-2-1-5-7-10-0-0-0-0
[616] 5-1-1-26-27-6-0-6-0-0
[617] 3-2-1-6-3-5-0-13-0-1
[618] 3-0-0-21-6-2-0-5-0-0
[619] 6-0-0-19-17-5-0-9-0-0
[620] 6-3-3-11-6-5-0-12-0-0
[621] 5-1-1-39-18-0-0-4-1-0
[622] 4-0-1-4-27-8-0-0-0-0
[623] 0-0-1-10-14-5-0-17-0-0
[624] 3-3-1-44-3-7-0-0-0-0
[625] 6-0-3-6-0-5-0-0-0-0
[626] 6-0-1-5-28-2-0-7-0-0
[627] 0-0-1-11-5-2-0-15-0-0
[628] 6-0-0-38-22-5-0-10-0-0
[629] 6-0-3-23-10-5-0-8-0-0
[630] 0-3-0-21-5-8-0-9-0-0
[631] 6-2-1-28-8-8-0-6-0-0
[632] 6-3-0-38-2-10-0-0-0-0
[633] 0-0-0-6-16-3-0-14-0-0
[634] 6-2-1-43-21-3-0-1-0-0
[635] 6-0-1-9-2-1-0-0-0-0
[636] 4-3-3-16-9-2-0-6-0-2
[637] 0-1-0-0-4-1-0-0-0-0
[638] 5-3-0-3-2-9-0-3-0-0
[639] 5-0-3-31-23-6-0-13-0-0
[640] 0-1-0-24-10-3-0-8-0-0
[641] 3-3-0-41-11-2-0-12-0-0
[642] 6-0-0-19-21-6-0-11-0-0
[643] 3-0-0-18-10-5-0-9-0-0
[644] 5-0-0-9-24-6-0-0-0-0
[645] 3-0-0-2-7-2-0-2-0-0
[646] 3-3-3-29-27-6-0-7-0-0
[647] 6-3-0-12-18-0-0-0-1-0
[648] 6-3-1-36-19-0-0-11-2-0
[649] 0-0-3-12-17-6-0-6-0-0
[650] 3-0-1-15-20-5-0-3-0-0
[651] 4-0-3-1-16-3-0-10-0-1
[652] 6-2-3-34-14-7-0-7-0-0
[653] 5-1-0-13-24-8-0-9-0-0
[654] 5-2-3-5-20-3-0-11-0-0
[655] 5-1-0-20-25-9-0-0-0-0
[656] 4-3-1-3-6-5-0-0-0-0
[657] 3-0-0-8-18-0-0-5-1-0
[658] 5-0-3-18-10-7-0-13-0-0
[659] 4-3-0-9-14-10-0-5-0-0
[660] 0-2-3-17-19-0-0-0-2-0
[661] 4-0-1-39-0-6-0-0-0-0
[662] 6-1-0-17-9-10-0-15-0-0
[663] 5-0-1-1-13-5-0-1-0-0
[664] 3-3-1-17-5-8-0-14-0-0
[665] 3-1-3-17-16-7-0-9-0-0
[666] 0-0-1-17-18-0-0-5-1-0
[667] 4-0-0-16-16-10-0-3-0-0
[668] 6-0-1-40-25-2-0-6-0-0
[669] 3-2-3-9-21-5-0-5-0-0
[670] 0-0-3-12-4-8-0-2-0-0
[671] 4-2-0-19-17-3-0-8-0-0
[672] 5-0-3-18-7-7-0-4-0-0
[673] 5-3-0-10-15-11-0-7-0-0
[674] 3-0-3-9-1-1-0-0-0-0
[675] 4-3-3-22-22-1-0-10-0-0
[676] 5-0-1-3-3-1-0-8-0-0
[677] 5-0-1-38-23-5-0-8-0-0
[678] 0-3-0-27-25-10-0-7-0-0
[679] 4-2-1-3-3-2-0-0-0-0
[680] 6-2-0-27-24-11-0-0-0-0
[681] 6-0-1-5-10-8-0-2-0-0
[682] 3-1-3-26-3-2-0-2-0-0
[683] 3-0-1-15-16-9-0-11-0-0
[684] 4-0-0-8-7-6-0-15-0-0
[685] 3-2-1-35-8-2-0-10-0-0
[686] 3-0-0-31-4-6-1-6-0-0
[687] 0-2-0-27-13-1-0-8-0-0
[688] 3-0-1-38-5-7-0-16-0-0
[689] 4-2-0-13-21-2-0-9-0-0
[690] 0-0-0-21-23-5-0-17-0-2
[691] 3-0-3-10-11-3-0-12-0-0
[692] 3-3-1-35-0-3-1-2-0-0
[693] 3-0-3-44-1-3-0-3-0-0
[694] 6-0-3-20-20-8-0-14-0-0
[695] 6-3-0-28-5-5-0-1-0-0
[696] 5-2-3-10-18-0-0-4-1-0
[697] 0-2-1-0-5-5-0-0-0-0
[698] 4-0-1-12-9-2-0-16-0-0
[699] 0-2-0-27-0-8-0-6-0-0
[700] 6-0-3-24-11-1-0-11-0-0
[701] 0-0-1-19-4-3-0-0-0-0
[702] 6-2-3-7-11-8-0-14-0-0
[703] 4-0-1-7-8-9-0-6-0-0
[704] 3-0-3-16-22-3-0-7-0-0
[705] 6-1-0-23-3-1-0-3-0-0
[706] 4-2-1-25-5-0-0-11-0-0
[707] 3-3-0-10-21-10-0-0-0-0
[708] 0-1-0-22-9-3-0-11-0-1
[709] 0-0-0-46-19-0-0-9-2-0
[710] 4-0-0-8-0-8-0-12-0-0
[711] 0-0-1-29-11-7-0-2-0-0
[712] 3-2-3-2-10-5-0-11-0-0
[713] 0-2-3-11-21-1-0-13-0-0
[714] 4-0-1-23-15-7-0-1-0-0
[715] 0-3-0-7-23-5-0-11-0-0
[716] 4-2-3-40-7-9-0-7-0-2
[717] 0-1-3-46-13-5-0-13-0-0
[718] 4-3-0-28-16-1-0-6-0-0
[719] 5-1-0-27-20-5-0-7-0-0
[720] 5-2-0-11-6-5-0-13-0-0
[721] 6-0-3-21-8-9-0-16-0-0
[722] 5-0-1-11-16-5-0-9-0-0
[723] 3-2-0-12-15-2-0-10-0-0
[724] 3-2-3-1-4-2-0-0-0-2
[725] 6-2-1-41-9-7-0-13-0-0
[726] 6-0-1-12-17-7-0-7-0-0
[727] 6-0-0-13-0-9-0-7-0-0
[728] 5-3-3-9-0-6-0-0-0-0
[729] 5-3-3-15-17-3-0-10-0-0
[730] 5-0-1-24-11-7-0-9-0-0
[731] 6-0-0-18-6-7-0-9-0-0
[732] 3-0-0-34-0-2-0-2-0-0
[733] 4-0-1-9-7-5-0-8-0-0
[734] 4-3-3-8-16-1-0-10-0-0
[735] 0-1-0-25-7-6-0-5-0-0
[736] 0-3-3-10-5-3-0-5-0-0
[737] 3-0-1-12-16-6-0-3-0-0
[738] 5-0-3-4-27-10-0-0-0-0
[739] 5-1-3-12-21-10-0-8-0-0
[740] 4-2-0-21-6-9-0-14-0-0
[741] 5-3-1-12-11-3-0-10-0-0
[742] 6-0-1-46-22-5-0-9-0-0
[743] 4-0-0-5-10-1-0-7-0-1
[744] 4-2-0-38-7-9-0-2-0-0
[745] 6-0-1-16-13-6-0-5-0-0
[746] 0-0-0-13-15-5-0-14-0-0
[747] 5-3-1-11-17-2-0-6-0-0
[748] 5-3-1-21-15-2-1-10-0-0
[749] 0-2-3-14-0-10-0-0-0-0
[750] 3-2-3-0-9-6-0-0-0-0
[751] 5-3-3-8-8-8-0-11-0-0
[752] 6-0-1-4-23-7-0-9-0-0
[753] 4-0-0-5-3-1-0-9-0-0
[754] 5-3-0-16-14-8-0-11-0-0
[755] 5-3-0-22-17-10-0-8-0-0
[756] 0-0-1-35-24-7-0-2-0-0
[757] 5-0-3-47-13-5-0-9-0-0
[758] 6-0-1-29-28-11-0-7-0-0
[759] 4-2-3-19-21-7-0-3-0-0
[760] 5-0-1-38-10-2-0-9-0-0
[761] 3-2-0-14-27-10-0-7-0-2
[762] 4-2-3-6-3-7-0-9-0-0
[763] 6-1-3-3-5-1-0-6-0-0
[764] 6-0-1-16-9-5-0-14-0-0
[765] 6-2-1-36-7-8-0-7-0-0
[766] 0-3-1-26-22-7-0-2-0-0
[767] 3-0-1-14-4-5-0-0-0-0
[768] 4-0-0-40-3-2-0-0-0-0
[769] 3-0-1-18-4-1-0-0-0-0
[770] 4-3-0-27-6-1-0-12-0-0
[771] 0-2-1-5-0-7-0-0-0-0
[772] 0-3-1-41-9-1-0-9-0-0
[773] 3-0-0-39-10-1-0-1-0-0
[774] 3-3-0-18-17-8-0-13-0-0
[775] 6-1-0-25-16-11-0-9-0-0
[776] 5-3-3-31-10-6-0-3-0-0
[777] 5-0-3-13-23-3-0-4-0-1
[778] 4-3-0-24-10-7-0-14-0-0
[779] 3-0-3-36-7-3-0-8-0-0
[780] 5-0-0-4-4-1-0-3-0-0
[781] 3-2-3-30-6-3-0-11-0-0
[782] 5-3-0-28-6-9-1-9-0-0
[783] 3-1-3-5-7-3-0-2-0-0
[784] 6-0-1-12-28-10-0-17-0-0
[785] 4-2-0-29-25-2-0-0-0-0
[786] 5-2-0-37-10-9-0-0-0-0
[787] 3-2-1-6-17-6-0-3-0-0
[788] 6-2-0-26-23-7-0-14-0-0
[789] 3-1-1-28-18-0-0-17-1-0
[790] 6-2-3-15-28-5-0-8-0-0
[791] 4-2-3-38-16-6-0-5-0-0
[792] 0-1-0-20-1-8-0-0-0-0
[793] 3-0-3-3-3-7-0-2-0-0
[794] 5-3-0-14-0-2-0-0-0-0
[795] 6-0-1-28-22-1-0-9-0-0
[796] 4-3-3-10-20-1-0-5-0-0
[797] 3-0-1-4-11-6-0-4-0-0
[798] 0-0-1-4-14-11-0-5-0-0
[799] 4-2-0-2-21-1-0-5-0-0
[800] 0-3-0-41-8-6-0-2-0-0
[801] 5-2-1-28-10-2-0-5-0-0
[802] 6-3-1-5-27-10-0-12-0-0
[803] 3-0-1-47-28-10-0-14-0-0
[804] 3-0-3-8-5-8-0-12-0-0
[805] 3-2-3-24-4-1-0-7-0-0
[806] 6-0-3-14-6-2-0-3-0-0
[807] 0-0-0-8-13-3-0-7-0-0
[808] 0-0-3-44-11-6-0-8-0-0
[809] 5-2-0-13-13-7-0-6-0-0
[810] 0-0-3-38-28-3-0-9-0-0
[811] 4-0-1-4-7-9-0-4-0-0
[812] 3-2-3-39-20-5-0-10-0-0
[813] 6-2-3-2-14-8-0-7-0-0
[814] 5-3-1-0-14-2-0-0-0-0
[815] 6-2-3-24-10-1-0-6-0-0
[816] 5-3-1-3-14-5-0-7-0-0
[817] 6-0-0-27-7-6-0-13-0-0
[818] 0-0-1-24-23-7-0-16-0-0
[819] 6-3-0-35-21-7-1-0-0-0
[820] 6-0-3-16-1-7-0-7-0-0
[821] 0-3-3-22-14-2-0-6-0-0
[822] 4-2-1-15-24-9-0-11-0-0
[823] 3-0-1-43-3-5-0-9-0-0
[824] 6-0-0-6-11-6-0-7-0-0
[825] 3-0-1-44-23-3-0-17-0-0
[826] 4-1-3-22-21-3-0-16-0-0
[827] 6-1-3-2-22-8-0-17-0-0
[828] 3-3-3-13-14-6-0-8-0-0
[829] 4-2-0-17-6-2-0-9-0-0
[830] 5-3-0-17-13-8-0-0-0-0
[831] 3-3-3-42-0-5-0-2-0-0
[832] 5-1-0-9-16-6-0-9-0-0
[833] 5-2-3-15-8-6-0-12-0-0
[834] 5-2-1-14-20-1-0-14-0-0
[835] 0-0-0-36-18-0-0-12-1-0
[836] 3-1-1-26-8-11-0-11-0-0
[837] 6-0-1-44-16-6-0-8-0-0
[838] 4-0-3-40-17-11-0-7-0-0
[839] 4-0-3-7-24-1-0-0-0-0
[840] 6-2-3-39-6-6-0-7-0-0
[841] 5-3-0-35-9-2-0-5-0-0
[842] 4-3-3-17-0-6-0-2-0-0
[843] 6-0-3-7-14-6-0-4-0-0
[844] 6-3-0-1-7-2-0-2-0-0
[845] 6-2-3-7-28-5-0-2-0-0
[846] 4-2-1-11-3-2-0-0-0-0
[847] 0-3-1-4-15-5-0-4-0-0
[848] 0-3-3-43-13-2-0-0-0-0
[849] 0-3-0-34-7-1-0-0-0-0
[850] 3-3-0-28-13-10-0-12-0-0
[851] 6-2-1-29-16-10-0-8-0-0
[852] 3-0-1-13-14-1-0-7-0-0
[853] 5-2-1-16-10-1-0-11-0-0
[854] 6-0-3-14-27-7-0-20-0-0
[855] 6-0-0-10-21-5-0-15-0-0
[856] 5-3-1-12-25-3-0-2-0-0
[857] 5-3-0-14-17-7-0-10-0-0
[858] 5-3-0-3-13-10-0-14-0-0
[859] 5-2-0-16-27-1-0-8-0-0
[860] 5-0-0-37-19-0-0-17-2-0
[861] 6-0-1-14-22-2-0-6-0-0
[862] 4-3-3-16-7-1-0-12-0-0
[863] 5-3-3-0-19-0-0-9-2-0
[864] 5-0-1-36-18-0-0-8-1-0
[865] 5-1-3-24-14-10-0-15-0-0
[866] 4-3-1-3-21-3-0-5-0-0
[867] 4-0-0-27-8-11-0-7-0-0
[868] 6-3-1-39-27-3-0-0-0-0
[869] 4-0-1-12-5-6-0-8-0-0
[870] 4-2-3-11-18-0-0-6-1-0
[871] 0-3-1-6-3-9-0-0-0-0
[872] 5-0-1-1-17-6-0-15-0-0
[873] 3-2-0-4-17-9-0-8-0-0
[874] 0-0-3-4-17-6-0-9-0-0
[875] 3-2-0-37-20-7-0-9-0-0
[876] 0-3-1-23-28-5-0-13-0-0
[877] 4-0-3-18-5-5-0-12-0-0
[878] 5-3-1-13-19-10-0-13-0-0
[879] 3-3-0-29-24-1-0-7-0-0
[880] 3-1-0-34-3-3-0-0-0-0
[881] 3-3-3-14-3-5-0-6-0-0
[882] 3-1-0-13-28-9-0-10-0-0
[883] 5-3-3-15-3-9-0-8-0-0
[884] 4-3-0-25-1-1-0-0-0-0
[885] 0-3-1-10-13-6-0-10-0-0
[886] 6-0-3-30-10-1-0-12-0-0
[887] 0-2-3-5-19-0-0-7-2-0
[888] 5-3-3-14-23-3-0-10-0-0
[889] 5-1-0-19-27-9-0-0-0-0
[890] 3-3-3-18-1-3-0-0-0-0
[891] 6-3-3-9-22-8-0-8-0-0
[892] 0-0-1-20-0-9-0-1-0-0
[893] 5-3-1-19-3-8-0-3-0-0
[894] 0-2-3-6-8-10-0-2-0-0
[895] 4-2-1-24-14-9-0-12-0-0
[896] 4-1-1-18-14-9-0-3-0-0
[897] 6-1-1-46-14-11-0-3-0-0
[898] 4-3-1-41-6-7-0-11-0-0
[899] 0-0-3-13-22-7-1-9-0-0
[900] 6-1-3-17-9-9-0-16-0-0
[901] 6-2-0-9-18-0-0-4-1-0
[902] 5-2-1-38-10-5-0-14-0-0
[903] 3-2-1-2-24-5-0-2-0-0
[904] 5-2-1-27-23-8-0-9-0-0
[905] 6-2-0-6-4-5-0-0-0-0
[906] 3-1-3-23-21-9-0-20-0-0
[907] 0-0-3-20-28-11-0-12-0-0
[908] 4-0-1-19-17-8-0-9-0-0
[909] 6-3-1-6-7-9-0-11-0-0
[910] 0-2-3-11-18-0-0-4-1-0
[911] 4-2-0-28-11-9-0-4-0-0
[912] 6-0-0-22-15-1-0-6-0-0
[913] 4-3-0-44-16-11-0-0-0-0
[914] 3-3-0-7-7-3-0-0-0-0
[915] 3-0-3-28-23-1-0-4-0-0
[916] 6-0-1-4-24-8-0-6-0-0
[917] 5-2-0-13-17-8-0-12-0-0
[918] 4-3-1-27-27-10-0-9-0-0
[919] 6-0-3-0-6-9-0-5-0-0
[920] 5-2-1-7-24-2-0-9-0-0
[921] 6-3-3-40-28-8-0-14-0-0
[922] 5-3-0-15-16-10-0-8-0-0
[923] 6-2-0-7-0-6-0-3-0-0
[924] 5-3-1-1-20-1-0-2-0-0
[925] 0-0-0-17-9-7-0-5-0-0
[926] 5-1-3-18-13-2-0-12-0-0
[927] 4-1-1-41-16-2-0-9-0-0
[928] 0-0-3-7-18-5-0-2-0-0
[929] 0-2-0-22-13-5-0-1-0-0
[930] 6-3-0-36-23-3-0-6-0-0
[931] 0-2-3-20-0-2-0-1-0-0
[932] 3-3-0-25-5-9-0-14-0-0
[933] 0-0-0-15-1-8-0-0-0-0
[934] 0-0-3-8-7-6-0-8-0-0
[935] 6-2-0-24-10-6-0-0-0-0
[936] 6-2-0-35-3-8-0-0-0-0
[937] 5-0-0-29-11-7-0-11-0-0
[938] 0-0-0-5-13-6-0-15-0-0
[939] 3-3-1-34-19-0-0-0-2-0
[940] 0-1-1-13-4-5-0-6-0-0
[941] 5-2-3-14-1-1-1-0-0-0
[942] 3-0-3-26-16-11-0-3-0-0
[943] 0-0-3-18-10-6-0-14-0-0
[944] 4-1-3-15-3-9-0-13-0-0
[945] 4-0-1-30-4-8-0-0-0-0
[946] 0-0-3-46-7-7-0-12-0-0
[947] 6-2-3-22-22-11-0-11-0-0
[948] 5-2-3-8-5-9-0-7-0-0
[949] 6-0-0-39-3-9-0-1-0-0
[950] 6-2-3-6-19-0-0-12-2-0
[951] 6-1-0-5-0-8-0-0-0-2
[952] 0-1-3-37-20-5-0-8-0-0
[953] 3-0-0-28-17-3-0-8-0-0
[954] 0-3-3-5-10-9-0-9-0-0
[955] 4-3-1-16-23-5-0-8-0-0
[956] 6-3-0-10-7-7-0-14-0-0
[957] 0-0-1-3-13-8-0-15-0-0
[958] 6-3-1-9-9-9-0-12-0-0
[959] 6-2-0-26-9-7-0-9-0-0
[960] 3-0-1-24-11-3-0-5-0-0
[961] 3-0-0-11-16-6-0-7-0-0
[962] 5-0-1-7-8-5-0-4-0-0
[963] 0-1-0-15-20-2-0-2-0-0
[964] 6-2-1-8-14-9-0-14-0-0
[965] 6-0-0-16-4-6-0-11-0-0
[966] 3-2-1-11-0-7-0-2-0-0
[967] 3-3-0-2-23-9-0-14-0-0
[968] 0-0-1-16-13-8-0-15-0-0
[969] 3-2-0-23-20-10-0-0-0-0
[970] 0-3-0-20-27-1-0-6-0-0
[971] 3-0-3-3-17-1-0-6-0-0
[972] 4-0-1-42-16-9-0-4-0-0
[973] 5-3-1-5-10-7-0-12-0-0
[974] 5-2-3-4-17-7-0-14-0-0
[975] 5-3-3-22-15-9-0-10-0-0
[976] 0-0-3-24-3-1-0-6-0-0
[977] 6-2-1-25-27-10-0-0-0-0
[978] 3-1-0-0-11-1-0-12-0-0
[979] 0-0-0-0-3-5-0-8-0-0
[980] 4-2-0-19-22-7-0-3-0-0
[981] 3-0-1-27-11-9-0-14-0-0
[982] 0-0-1-34-3-2-0-0-0-0
[983] 0-0-1-24-22-3-0-16-0-0
[984] 4-0-1-26-5-7-0-8-0-0
[985] 4-0-3-17-5-9-0-2-0-0
[986] 4-3-3-37-15-1-0-11-0-0
[987] 6-2-3-19-21-7-0-0-0-0
[988] 3-0-3-23-22-1-0-10-0-0
[989] 0-3-3-1-4-10-0-2-0-0
[990] 4-0-3-34-3-2-0-3-0-0
[991] 0-0-0-25-19-0-0-16-2-0
[992] 4-2-1-30-27-8-0-8-0-0
[993] 4-0-0-11-5-3-0-12-0-0
[994] 0-0-0-28-17-7-0-14-0-0
[995] 4-0-3-39-0-5-0-0-0-0
[996] 5-1-3-22-23-1-0-11-0-0
[997] 6-0-3-6-8-5-1-13-0-0
[998] 4-3-3-27-22-7-0-5-0-0
[999] 0-2-1-23-9-6-0-11-0-0
